<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201209,9.8,9.8,9.4,9.8,506928
ACM,20201209,0.8,0.8,0.7,0.8,613410
ADC,20201209,18,18,18,18,2600
AMC,20201209,19,19,19,19,100
AMV,20201209,17.4,17.4,17.1,17.1,469695
API,20201209,9.5,9.5,9.2,9.4,6800
APP,20201209,3.6,3.6,3.6,3.6,2
APS,20201209,3.3,3.6,3.3,3.6,408210
ARM,20201209,46.8,46.8,46.8,46.8,300
ART,20201209,2.6,2.8,2.6,2.8,4223505
BAX,20201209,69,70,69,69.1,19600
BCC,20201209,7.7,7.7,7.5,7.6,418727
BCF,20201209,39.2,41.6,39.2,41.6,1400
BII,20201209,1.5,1.6,1.4,1.4,203740
BKC,20201209,5.2,5.2,5.2,5.2,100
BNA,20201209,33.1,33.4,32.9,33.3,100800
BPC,20201209,10.1,10.1,10.1,10.1,1000
BST,20201209,15.3,15.3,15.3,15.3,400
BTS,20201209,4.5,4.5,4.3,4.5,2539
BTW,20201209,27,27,27,27,1300
BVS,20201209,12.9,13.5,12.8,13.2,1140233
C69,20201209,7.7,7.7,7.5,7.6,60332
CAN,20201209,25.5,25.5,25.5,25.5,10
CAP,20201209,37.4,37.4,37,37.4,7171
CDN,20201209,25,26,25,25.9,2700
CEO,20201209,7.8,8.1,7.7,7.9,4490393
CET,20201209,2.3,2.4,2.3,2.3,8100
CIA,20201209,15,15.6,14.8,15.3,38041
CKV,20201209,11.2,13.6,11.2,13.6,1500
CLH,20201209,20.3,20.3,20.3,20.3,2040
CMC,20201209,5.2,5.5,5.2,5.5,3000
CMS,20201209,2.6,2.7,2.5,2.6,50500
CPC,20201209,16.4,16.4,16.4,16.4,1759
CSC,20201209,21,21.3,21,21.3,1761
CTP,20201209,3.4,3.5,3.3,3.3,46319
CTX,20201209,6.7,6.7,6.7,6.7,2000
CVN,20201209,11.7,11.7,11.1,11.2,280320
D11,20201209,25,25,24.5,24.9,2936
DAD,20201209,18,18,18,18,19
DAE,20201209,14.7,14.7,14.7,14.7,400
DC2,20201209,9.5,9.5,9.5,9.5,200
DDG,20201209,28.5,28.6,28.2,28.3,101400
DHT,20201209,56.2,56.2,54,55.1,10130
DIH,20201209,12,12,12,12,140
DNM,20201209,43,43,42,42.2,10392
DNP,20201209,17.4,17.5,17.4,17.5,10196
DP3,20201209,82.9,82.9,82,82.5,5400
DS3,20201209,4,4.1,4,4.1,20500
DST,20201209,2.7,2.7,2.5,2.6,655924
DTD,20201209,27.1,28,27.1,27.4,95517
DXP,20201209,17,17.3,16.7,16.9,328254
DZM,20201209,3.6,3.6,3.4,3.5,3800
EBS,20201209,8.4,8.4,8.3,8.4,2723
EID,20201209,13.9,13.9,13.7,13.9,4200
EVS,20201209,5.6,6.8,5.6,6.8,1400
FID,20201209,0.9,1.1,0.9,1.1,773400
GIC,20201209,18.9,19.2,18.9,19,17800
GKM,20201209,16.4,16.4,16.4,16.4,171600
GLT,20201209,18.7,19,18,18.9,11500
GMA,20201209,25.5,26,25.5,26,1400
HAD,20201209,17.7,17.7,17.3,17.3,10730
HAT,20201209,23.7,23.9,23.5,23.9,6000
HBS,20201209,2.9,2.9,2.9,2.9,69840
HCC,20201209,9.7,9.7,9.7,9.7,17759
HDA,20201209,8.6,8.6,8.5,8.5,58610
HEV,20201209,12.7,13.3,12.7,13.3,410
HHC,20201209,86,86,86,86,42
HHG,20201209,1.3,1.4,1.3,1.4,20700
HHP,20201209,13.3,13.5,13,13.3,304470
HLD,20201209,28,28.1,27.2,27.8,255550
HMH,20201209,9.7,9.7,9.7,9.7,2100
HOM,20201209,3.3,3.3,3.1,3.2,41853
HUT,20201209,2.7,2.9,2.6,2.9,12156974
ICG,20201209,6.2,6.8,6.2,6.2,5310
IDC,20201209,33.9,34.7,33.2,33.3,1611140
IDJ,20201209,14.9,15.1,14.6,14.6,133480
IDV,20201209,57,57,56.7,56.8,13010
INC,20201209,8.9,8.9,8.9,8.9,100
INN,20201209,29.2,32.6,29.2,31.8,66420
ITQ,20201209,2.4,2.4,2.3,2.4,46300
IVS,20201209,5.8,5.8,5.3,5.8,41800
KDM,20201209,2.1,2.1,2,2.1,9100
KKC,20201209,7.7,7.7,7.7,7.7,1100
KLF,20201209,1.8,1.9,1.8,1.8,1443171
KSQ,20201209,1.6,1.6,1.5,1.6,7800
KST,20201209,17.9,18,17.9,18,1600
KTS,20201209,13.5,13.7,13.5,13.7,9601
KVC,20201209,1.1,1.2,1.1,1.2,270200
L14,20201209,52.4,52.6,52.3,52.6,21988
L61,20201209,7.5,7.5,7.5,7.5,300
LAS,20201209,7.9,7.9,7.6,7.7,157440
LCS,20201209,1.9,1.9,1.8,1.8,9900
LHC,20201209,44.4,44.4,44,44.4,5916
LIG,20201209,5.7,5.7,5.4,5.5,940140
LUT,20201209,3,3,3,3,56486
MAC,20201209,6.1,6.5,6,6.5,9766
MAS,20201209,35,35.1,35,35.1,2000
MBG,20201209,5.3,5.3,5.2,5.2,1034796
