<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20201209,12.9,13.4,12.9,13.25,4639140
AAM,20201209,10.95,11.1,10.95,11.1,5850
ABS,20201209,16,17.1,16,16.75,265890
ABT,20201209,30.6,31,30.6,31,990
ACB,20201209,28.1,28.95,27.8,28.55,24200930
ACC,20201209,14.1,14.1,13.9,13.95,21920
ACL,20201209,12.8,13,12.65,12.9,130050
ADS,20201209,9.95,9.95,9.9,9.95,13510
AGG,20201209,30.3,30.5,29.7,30.4,1651760
AGM,20201209,12.5,12.55,12.45,12.45,19060
AGR,20201209,7.39,7.45,7.3,7.45,1451030
AMD,20201209,2.69,2.74,2.68,2.71,2257750
ANV,20201209,22,22.9,21.7,22.7,711240
APC,20201209,22.5,23.3,22.3,22.9,93970
APG,20201209,10,10.3,10,10.2,1024010
APH,20201209,89.9,90.3,89.6,89.8,566410
ASG,20201209,40,40,37,37.2,15570
ASM,20201209,12.9,13.45,12.75,13.2,4702510
ASP,20201209,5.75,5.9,5.63,5.87,305410
AST,20201209,56,56.9,56,56.2,109230
BBC,20201209,57,57.6,56,57.6,7200
BCE,20201209,8.77,8.94,8.65,8.7,301600
BCG,20201209,9.3,9.34,9.07,9.18,912990
BCM,20201209,40,40.1,39.75,39.85,81940
BFC,20201209,16.5,16.55,16.35,16.4,350920
BHN,20201209,73.3,75,73.3,75,1280
BIC,20201209,19.8,20.55,19.8,20.35,250890
BID,20201209,42.9,44,42.75,43.8,3679830
BMC,20201209,10.9,10.95,10.65,10.8,45560
BMI,20201209,30.15,31.6,30.15,31.1,755840
BMP,20201209,64.1,66.6,64.1,66.5,391540
BRC,20201209,11,11.5,10.9,11.5,8960
BSI,20201209,11,11.35,10.9,11.35,771430
BTP,20201209,13.9,13.95,13.85,13.9,13890
BTT,20201209,38.3,38.3,38.25,38.25,300
BVH,20201209,57.6,58.5,57.3,57.9,1283610
BWE,20201209,31.2,31.9,31.1,31.5,879960
C32,20201209,24.45,24.8,24.25,24.25,279420
C47,20201209,9.11,9.15,8.92,9.01,234440
CAV,20201209,68.1,69,68.1,69,650
CCL,20201209,7.7,7.7,7.6,7.6,253390
CCTD2001,20201209,0.3,0.34,0.3,0.3,49240
CDC,20201209,22.95,22.95,22.25,22.95,54960
CDPM2002,20201209,4.44,4.7,4.2,4.6,174240
CEE,20201209,17.3,18.9,17.25,18.9,76800
CFPT2008,20201209,2,2.3,2,2.22,362690
CFPT2009,20201209,3.2,3.64,3.2,3.5,95130
CFPT2010,20201209,7.62,8.59,7.62,8.46,8820
CFPT2011,20201209,2.16,2.41,2.16,2.35,593600
CFPT2012,20201209,2,2.13,1.91,2.1,611960
CFPT2013,20201209,4.75,5.05,4.75,5.05,6070
CFPT2014,20201209,3,3,3,3,10
CFPT2015,20201209,2.05,2.1,1.9,2.03,110610
CFPT2016,20201209,2.59,2.59,2.34,2.46,141600
CHDB2003,20201209,2.42,2.74,2.42,2.66,238810
CHDB2007,20201209,2.12,2.25,2.12,2.24,216640
CHDB2008,20201209,1.6,1.7,1.6,1.64,352880
CHP,20201209,19.6,19.6,19.5,19.55,54060
CHPG2002,20201209,8.39,8.52,8.39,8.51,20710
CHPG2010,20201209,3.7,3.81,3.66,3.75,749160
CHPG2012,20201209,20.83,20.83,20.63,20.63,200
CHPG2014,20201209,21.63,21.63,21.04,21.45,308340
CHPG2015,20201209,20.8,21.11,20.8,21.11,5840
CHPG2016,20201209,9.88,9.88,9.63,9.72,18870
CHPG2017,20201209,2.6,2.62,2.49,2.6,719250
CHPG2018,20201209,2.72,2.72,2.59,2.7,956550
CHPG2019,20201209,7.2,7.32,7.1,7.2,47920
CHPG2020,20201209,12.51,14.26,12.51,14.01,86740
CHPG2021,20201209,6.3,7.2,6.3,7.02,488680
CHPG2022,20201209,6.42,6.42,6.16,6.21,213610
CHPG2023,20201209,10.25,10.25,9.7,10.05,278580
CHPG2024,20201209,5.9,6.15,5.75,5.75,43790
CHPG2025,20201209,6.39,6.7,6,6.07,26910
CIG,20201209,1.72,1.84,1.72,1.84,5270
CII,20201209,18.65,18.95,18.55,18.75,3087880
CKDH2001,20201209,1.49,1.54,1.49,1.53,42900
CKDH2002,20201209,1.81,1.81,1.75,1.8,1920
CKDH2003,20201209,1.21,1.29,1.15,1.25,727700
CKG,20201209,12.7,13.1,12.5,12.9,1670820
CLC,20201209,31.3,31.5,31.3,31.5,1240
CLG,20201209,1,1,0.97,0.98,46240
CLL,20201209,30.4,30.5,30,30,4580
CMBB2007,20201209,3.92,4,3.9,3.9,73420
CMBB2008,20201209,5.44,5.75,5.44,5.58,14890
CMBB2009,20201209,3.2,3.35,3.19,3.2,460070
CMBB2010,20201209,6.9,6.9,6.52,6.72,351690
CMBB2011,20201209,6.09,6.14,5.85,6,388480
CMG,20201209,33.4,33.4,32.45,32.85,125350
CMSN2001,20201209,3.96,3.96,3.85,3.91,46560
CMSN2006,20201209,5.83,6,5.79,6,12050
CMSN2007,20201209,3.1,3.1,3.05,3.09,291020
CMSN2009,20201209,2.73,2.79,2.65,2.71,214740
CMSN2010,20201209,15.8,16,15.56,15.98,2540
CMSN2011,20201209,6.78,7.08,6.68,7.04,41560
CMSN2012,20201209,13.15,13.8,13.15,13.8,690
CMSN2013,20201209,1.54,1.54,1.49,1.54,119460
CMSN2014,20201209,1.07,1.07,1,1.07,115310
CMV,20201209,14.7,14.7,14.7,14.7,100
CMWG2010,20201209,3.4,3.5,3.4,3.44,313030
CMWG2011,20201209,5.9,5.9,5.9,5.9,1000
CMWG2012,20201209,7.38,7.51,7.37,7.51,50960
CMWG2013,20201209,14.69,14.77,14.47,14.77,970
CMWG2014,20201209,3.28,3.3,3.2,3.3,2220
CMWG2015,20201209,2.29,2.34,2.28,2.31,70590
CMWG2016,20201209,2,2.05,1.99,2.05,235900
CMX,20201209,15.75,16.1,15.7,15.85,643240
CNG,20201209,19.6,19.6,19.5,19.55,51850
CNVL2001,20201209,2.1,2.1,1.8,1.9,1020
CNVL2002,20201209,1.47,1.73,1.45,1.73,120430
CNVL2003,20201209,0.71,1.1,0.7,0.94,1554230
COM,20201209,47,47,46.95,47,1330
CPNJ2006,20201209,2.05,2.07,2.04,2.05,75730
CPNJ2008,20201209,5.92,5.98,5.91,5.91,18300
