<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20201209,5.6,5.9,5.6,5.8,1224444
ABC,20201209,17.5,17.6,17.3,17.5,22100
ABI,20201209,36.9,37.4,35.7,36.5,15550
ACE,20201209,32.2,32.2,32.2,32.2,100
ACV,20201209,73.4,75,73.3,74.6,448401
ADG,20201209,59.6,59.9,59.4,59.5,53300
AFX,20201209,12.5,12.7,10.7,12.6,242446
AG1,20201209,10.2,10.2,10.2,10.2,400
AGP,20201209,14.5,14.8,14.5,14.6,16411
AMS,20201209,9,9,9,9,2000
APF,20201209,37.5,37.5,37,37,5000
ATB,20201209,0.7,0.7,0.6,0.7,23400
AVC,20201209,26.5,26.5,26.5,26.5,100
BAB,20201209,18,18,18,18,100
BDG,20201209,42.5,48.5,42.5,48.5,108200
BDT,20201209,19,19.2,18.5,19.1,5518
BDW,20201209,10.5,10.5,10.5,10.5,100
BGW,20201209,22,22,22,22,1000
BKH,20201209,30.5,30.5,30.5,30.5,100
BLI,20201209,7.9,7.9,7.9,7.9,4000
BOT,20201209,52.1,52.7,52.1,52.7,26200
BSA,20201209,13,13,13,13,16148
BSL,20201209,9.7,9.8,9.7,9.8,7100
BSQ,20201209,20,20,20,20,100
BSR,20201209,7.8,8.4,7.7,8.2,17235475
BTD,20201209,21.1,21.4,21.1,21.4,7300
BTH,20201209,4.2,4.2,4.2,4.2,100
BTN,20201209,2.8,2.8,2.8,2.8,100
BUD,20201209,6.6,6.6,6.6,6.6,100
BVB,20201209,13,13.2,12.8,13.1,1938132
BVG,20201209,1.8,2,1.7,1.9,8850
BWS,20201209,35.3,35.3,35.2,35.2,3514
C4G,20201209,9.8,10.2,9.8,10,1502853
CAT,20201209,13.8,13.8,13.8,13.8,1000
CBI,20201209,7.1,7.1,7.1,7.1,100
CC1,20201209,18.7,19.9,18.7,19.9,200
CCM,20201209,39.7,39.7,39.7,39.7,200
CCR,20201209,13.5,13.5,13.5,13.5,600
CCV,20201209,18,18,18,18,256
CDO,20201209,0.8,0.8,0.8,0.8,29830
CDP,20201209,9.9,10.2,9.5,10,14500
CEN,20201209,6.9,7.1,6.8,7.1,32800
CHS,20201209,9.1,9.1,9.1,9.1,1
CI5,20201209,3.1,4.1,3.1,4.1,7500
CKD,20201209,21,21,21,21,700
CLX,20201209,14.6,15.5,14.6,15.4,325100
CMT,20201209,7,7,7,7,20
CQN,20201209,19.2,19.2,18.8,18.8,310
CSI,20201209,13.8,14,13.8,14,500
CTR,20201209,59,59,50.5,58.2,920741
DAP,20201209,35.9,35.9,35.9,35.9,1
DCF,20201209,9.4,9.4,9.4,9.4,100
DDN,20201209,10.6,11,10.6,10.8,6600
DDV,20201209,7.3,7.3,7.3,7.3,1100
DGT,20201209,52.5,52.5,50,50,40528
DID,20201209,3.1,3.1,2.8,2.8,5100
DKC,20201209,22.4,22.4,22.4,22.4,200
DNH,20201209,28,28,28,28,200
DNW,20201209,24.3,24.3,21.5,23.5,3300
DOP,20201209,9,9,9,9,100
DPH,20201209,24,24,24,24,500
DRI,20201209,7.8,7.8,7.5,7.6,553022
