<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VSC,20201210,52.8,53.2,51.8,52.2,184520
VSH,20201210,18.8,18.85,18.7,18.7,47520
VSI,20201210,16.9,17,16.9,17,1820
VTB,20201210,11.3,11.5,10.7,11,21730
VTO,20201210,7.39,7.45,7.38,7.45,4990
YBM,20201210,5.19,5.2,5.01,5.06,5980
YEG,20201210,46.7,46.7,45,45.4,15990
VNE,20201210,4.9,4.9,4.8,4.81,90480
VNG,20201210,15.2,15.3,14.9,14.95,201800
VNL,20201210,16.8,17.4,16.5,17.4,7450
VNM,20201210,110.3,113.9,110.3,112,6077770
VNS,20201210,11,11,10.45,11,13980
VOS,20201210,2.35,2.36,2.2,2.23,1615240
VPB,20201210,28.5,28.55,28,28,6090320
VPD,20201210,14.5,14.5,14.2,14.45,5930
VPG,20201210,15.45,15.5,15.2,15.3,703190
VPH,20201210,4.41,4.44,4.35,4.36,69180
VPI,20201210,33.25,33.25,33.15,33.15,429920
VPS,20201210,13.8,13.8,12.85,12.9,10700
VRC,20201210,7.31,7.67,7.3,7.4,616310
VRE,20201210,28.6,28.85,28.15,28.2,8047670
VCB,20201210,96.5,97.7,96.4,97.2,1299820
VCF,20201210,230.9,230.9,230,230,40
VCI,20201210,44,45,43,43,1661160
VDP,20201210,32.5,32.7,31.5,31.9,12990
VDS,20201210,9.4,9.9,9.4,9.6,17980
VFG,20201210,47.15,47.5,47.15,47.5,520
VGC,20201210,25.7,26.3,25.5,25.5,191440
VHC,20201210,45.7,46.1,45.2,45.2,738680
VHM,20201210,85.4,85.7,83.6,83.6,2406160
VIB,20201210,32.2,32.4,31.55,31.7,789190
VIC,20201210,106,107,104.9,104.9,979550
VID,20201210,9.99,10.1,9.5,9.5,71540
VIP,20201210,7.78,7.78,7.58,7.67,265050
VIS,20201210,17.9,17.9,17.9,17.9,1060
VJC,20201210,120.3,120.7,119,119.8,655870
VMD,20201210,21.3,21.3,21.3,21.3,20
VND,20201210,20,20.15,19.6,19.6,2687230
TS4,20201210,3.52,3.52,3.4,3.42,650
TSC,20201210,3.12,3.19,2.9,2.92,1313920
TTA,20201210,16.35,16.65,16.15,16.6,1213020
TTB,20201210,4.38,4.38,4.33,4.34,402210
TTF,20201210,5.7,5.77,5.65,5.67,3328330
TV2,20201210,49.6,52,49.55,51,539280
TVB,20201210,12,12,11.5,11.6,345540
TVS,20201210,11.85,11.85,11.8,11.8,6300
TVT,20201210,24.4,24.4,23.5,23.8,2660
TYA,20201210,14.35,14.35,14.15,14.3,6140
UDC,20201210,5.01,5.3,5.01,5.3,19260
UIC,20201210,47.75,48.7,45.5,47,1850
VAF,20201210,11.7,11.7,11.7,11.7,540
TMS,20201210,35.3,36.3,33.5,33.5,172050
TMT,20201210,5.86,6.1,5.47,5.47,19070
TN1,20201210,71,71.5,71,71,2100
TNA,20201210,13.7,13.7,13.35,13.6,277490
TNC,20201210,30.5,31,30.5,31,160
TNI,20201210,2.96,2.96,2.92,2.95,482310
TNT,20201210,1.79,1.79,1.74,1.75,41630
TPB,20201210,22.5,22.5,22.2,22.2,1978540
TRA,20201210,68.8,68.8,68,68,1600
TRC,20201210,36,36,36,36,800
TEG,20201210,4.59,4.59,4.59,4.59,100
TGG,20201210,1.04,1.05,1.02,1.03,176560
THG,20201210,55,55.3,54.9,55,9640
TIP,20201210,34.9,34.9,34,34,105760
TIX,20201210,31.35,31.35,29.3,29.3,180
TLD,20201210,5.55,5.58,5.43,5.44,323120
TLG,20201210,39.85,39.85,37.1,38.4,85700
TLH,20201210,6.3,6.3,6.1,6.19,860880
SZC,20201210,29.6,29.8,28.8,28.8,1616470
SZL,20201210,54,54.3,53.2,53.2,36500
TAC,20201210,43.2,43.6,43.2,43.3,35280
TBC,20201210,24.8,24.8,24.6,24.8,4770
