<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20201217,30.4,30.4,30.4,30.4,1
AAS,20201217,5.8,5.8,5.6,5.6,733551
ABC,20201217,17.7,17.8,17.6,17.8,7105
ABI,20201217,36.5,37,36,36,51420
ACE,20201217,28.5,28.6,28.5,28.6,2900
ACV,20201217,79,79,67.2,77.3,672062
ADG,20201217,60.7,62.8,60.7,61.8,95355
AFX,20201217,11.9,12.5,11.9,12.1,252680
AGP,20201217,14.7,14.7,14.6,14.6,12600
AMS,20201217,9.3,9.3,9.3,9.3,1000
ANT,20201217,9.8,9.8,9.8,9.8,1500
APF,20201217,36.1,36.5,36.1,36.4,13200
ATB,20201217,0.7,0.7,0.6,0.7,46800
BAB,20201217,18,18,18,18,5200
BAL,20201217,7.6,7.6,7.6,7.6,1400
BDG,20201217,48.5,48.5,48,48.1,29600
BDT,20201217,22,24.1,22,24,19844
BLI,20201217,7.9,8.6,7.9,8.6,5200
BMJ,20201217,28.5,28.5,28.5,28.5,11900
BMS,20201217,5.1,5.1,5.1,5.1,2500
BOT,20201217,52.5,52.6,52.4,52.6,12000
BRR,20201217,10.6,10.6,10.5,10.5,3300
BSG,20201217,8.7,8.7,8.7,8.7,1000
BSL,20201217,10.8,10.8,10.5,10.5,1200
BSP,20201217,18,18,18,18,100
BSQ,20201217,19.2,19.2,19.1,19.1,13700
BSR,20201217,8.7,9,8.5,8.8,8479552
BTD,20201217,22.5,22.6,22,22,56020
BUD,20201217,7.2,7.3,7.2,7.3,200
BVB,20201217,13.2,13.7,13,13.3,3171159
BVG,20201217,1.8,1.8,1.8,1.8,57600
BWS,20201217,35,35,35,35,1020
C4G,20201217,10.2,10.2,9.9,9.9,845565
C71,20201217,6,6,6,6,100
CAT,20201217,14.3,14.5,14.3,14.5,400
CC1,20201217,22.5,25.8,22.5,25.8,203
CDO,20201217,0.9,0.9,0.8,0.9,284622
CDP,20201217,10,10,10,10,301
CEN,20201217,6.8,6.9,6.7,6.7,24900
CHS,20201217,11.4,11.4,11.4,11.4,100
CKA,20201217,19.8,19.8,19.8,19.8,400
CKD,20201217,21,21,21,21,100
CLX,20201217,17,17,16.3,17,7250
CMD,20201217,18.1,18.1,18.1,18.1,500
CMN,20201217,45.7,45.7,45.7,45.7,100
CMT,20201217,7.6,7.6,7.6,7.6,2000
CSI,20201217,13.9,14.1,13.9,13.9,5900
CT6,20201217,5.5,6.2,4.7,6.2,8564
CTR,20201217,63,67.9,53.5,65.2,1277039
DAP,20201217,34.2,34.2,34.2,34.2,100
DC1,20201217,9.4,9.5,9,9.5,15000
DDN,20201217,10.9,10.9,10.9,10.9,500
DDV,20201217,6.5,6.5,6.5,6.5,4600
DHD,20201217,24.4,24.8,24.4,24.8,2100
DNE,20201217,10,10,9.1,9.9,2700
DNW,20201217,21.2,21.2,18.2,20.8,8000
DOP,20201217,8.2,8.2,8.2,8.2,100
DP1,20201217,16,16,14.3,14.3,6000
DPH,20201217,25.3,25.7,25.1,25.7,1660
DRI,20201217,7.6,7.7,7.3,7.4,477156
DSC,20201217,6.1,6.4,6.1,6.4,400
DSG,20201217,4.8,4.8,4.2,4.2,2000
DSP,20201217,9.1,9.1,9.1,9.1,900
DSV,20201217,10,10,10,10,1786
DTB,20201217,8,10.1,7.5,10.1,2500
DTP,20201217,45,46,45,46,6800
DVC,20201217,9,9,9,9,100
DVN,20201217,17.8,17.8,17,17.1,958752
DWS,20201217,10.4,10.4,10.4,10.4,100
EIC,20201217,8,8,8,8,100
EIN,20201217,4.3,4.7,4,4.7,19400
EMS,20201217,30.3,30.3,30.3,30.3,10
EVF,20201217,9.1,9.3,8.9,9.1,525102
FOC,20201217,105,105,104.6,104.6,4610
FOX,20201217,58,58,57.8,57.8,16810
FRM,20201217,22.8,22.8,22.8,22.8,1000
FT1,20201217,30,30,30,30,1000
G36,20201217,11.9,13.4,11.7,12,801460
GCB,20201217,8.5,8.5,8.5,8.5,100
GHC,20201217,33.5,33.5,33.3,33.3,25109
GND,20201217,26.7,26.7,26.2,26.5,700
HAC,20201217,5.3,5.3,5.3,5.3,2000
HAF,20201217,15,15,15,15,2100
HAN,20201217,14,14,12.7,12.8,74672
HC3,20201217,26.2,26.2,26.1,26.1,15600
HCS,20201217,12.7,12.7,12.7,12.7,100
HD2,20201217,5.9,5.9,5.8,5.9,68205
HDM,20201217,14,14.7,14,14.7,5610
HDP,20201217,9.2,9.3,9.2,9.3,32467
HEC,20201217,48.6,48.6,48.6,48.6,100
HEJ,20201217,23.9,23.9,22.5,22.5,3600
HEM,20201217,12.7,12.8,12.7,12.7,1658
HIG,20201217,10,10.3,10,10.3,6800
HLB,20201217,90.3,90.3,83,83,1400
HMS,20201217,25.2,25.2,25.2,25.2,100
HNA,20201217,12.4,12.4,12.4,12.4,40
HND,20201217,18.9,19.1,18.6,18.7,223613
HNI,20201217,39.8,39.8,32,32,2701
HPB,20201217,15.5,15.5,15.5,15.5,1
HPD,20201217,18,18,18,18,10000
HPI,20201217,24,24.1,24,24,2500
HPP,20201217,39.5,39.5,39.5,39.5,100
HRT,20201217,3.5,3.5,3.5,3.5,100
HSI,20201217,1,1,1,1,3000
HSM,20201217,9.7,9.8,9.7,9.8,200
HTE,20201217,6.5,6.5,6.5,6.5,370
