<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201218,11.7,12.8,11.6,12.7,584168
ACM,20201218,0.9,1,0.9,1,2820520
AMV,20201218,17.7,18,17.7,17.9,570945
APS,20201218,4.4,4.7,4.4,4.6,479881
ARM,20201218,50,50,50,50,1000
ART,20201218,2.8,2.8,2.7,2.7,1418651
BAX,20201218,74.5,79.4,74.5,79.4,17300
BBS,20201218,11.9,11.9,11.9,11.9,558
BCC,20201218,7.8,8.4,7.8,8.3,2454842
BCF,20201218,47,47,46.5,46.5,605
BII,20201218,2,2,2,2,318920
BKC,20201218,5.1,5.1,5.1,5.1,70
BLF,20201218,3.3,3.3,3.1,3.2,3409
BNA,20201218,33.6,34.2,33.6,34.2,107205
BTS,20201218,4.3,4.4,4.3,4.3,8342
BVS,20201218,13.5,14.4,13.3,14.2,765900
C69,20201218,8.1,8.1,7.8,8,38820
C92,20201218,3.4,3.4,3.4,3.4,500
CAP,20201218,38.1,38.1,37.7,38,18250
CDN,20201218,25,25.6,25,25.6,1600
CEO,20201218,9.5,10.2,9.2,9.6,6979443
CET,20201218,3.9,3.9,3.9,3.9,181439
CIA,20201218,14.3,14.9,14.3,14.9,12008
CLH,20201218,21.3,21.3,20.7,21,900
CMC,20201218,5.5,5.5,5.5,5.5,1900
CMS,20201218,2.6,2.7,2.6,2.7,33200
CPC,20201218,16,16,16,16,100
CSC,20201218,21.4,23,20.2,23,48608
CTC,20201218,4.1,4.1,4.1,4.1,3420
CTP,20201218,3.1,3.3,3.1,3.2,6900
CTT,20201218,10,10,9.9,9.9,5000
CTX,20201218,7.1,7.2,7.1,7.2,9000
CVN,20201218,11.3,11.6,11.2,11.3,241370
D11,20201218,24,26.3,23.7,26.3,3400
DAD,20201218,18,18,18,18,100
DAE,20201218,15,15,15,15,200
DC2,20201218,9.6,9.6,9.5,9.5,4500
DDG,20201218,28.2,28.5,28.1,28.5,112900
DHP,20201218,9.6,9.6,9.6,9.6,15
DHT,20201218,53.5,55,52.4,53.6,38920
DNC,20201218,50,50,50,50,2000
DNM,20201218,40.1,40.5,40,40.4,26000
DNP,20201218,17.9,17.9,17.9,17.9,2000
DP3,20201218,85,85,85,85,50
DPC,20201218,15.2,15.2,15.2,15.2,500
DS3,20201218,4,4.1,4,4.1,45100
DST,20201218,2.6,2.6,2.5,2.5,488850
DTD,20201218,27.8,28,27.5,28,126211
DXP,20201218,16.2,16.4,16,16,234935
DZM,20201218,3.8,3.8,3.8,3.8,47615
EID,20201218,14.1,15.7,14.1,14.9,25500
EVS,20201218,6.7,6.9,6.7,6.9,3200
FID,20201218,1.1,1.1,1,1,419000
GIC,20201218,18.8,19,18.8,19,9200
GKM,20201218,16.4,16.5,16.4,16.5,142700
GLT,20201218,19.6,19.6,19.6,19.6,6200
GMA,20201218,42.5,43,41.5,41.5,900
GMX,20201218,23.9,24.5,23.9,24,8500
HAD,20201218,18.6,19,18.6,19,49735
HAT,20201218,24.2,24.4,23.5,24.4,4500
HBS,20201218,4,4.1,3.6,3.7,149607
HCC,20201218,10.4,10.4,10.4,10.4,440
HDA,20201218,8.4,8.6,8.2,8.5,51440
HEV,20201218,12.7,13.2,12.7,13.2,400
HHC,20201218,79.3,87.1,79,87.1,2401
HHG,20201218,1.3,1.4,1.3,1.4,438098
HHP,20201218,12.5,12.7,12.4,12.6,338550
HKT,20201218,8,8,8,8,100
HLD,20201218,27.8,27.8,27.3,27.6,133290
HMH,20201218,10.6,10.6,10.4,10.6,10868
HOM,20201218,3.3,3.5,3.2,3.4,127290
HUT,20201218,3.7,3.9,3.4,3.8,15416142
HVT,20201218,31,31,31,31,50
IDC,20201218,35.9,38,35.7,36.9,2699655
IDJ,20201218,15.7,16.9,15,16.3,682920
IDV,20201218,56.5,56.8,56,56.6,4300
